model_url,specifications
https://www.mpb.com/en-eu/product/olympus-m-zuiko-mc-20-2-0x-teleconverter,{}
https://www.mpb.com/en-eu/product/fujifilm-xf-16-80mm-f4-r-ois-wr,"{'Minimum Focus Distance (m)': '0.35', 'Filter Thread (mm)': '72', 'Maximum Aperture - Tele (f)': '4', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '4', 'Year of release': '2020', 'Lens Mount': 'Fujifilm X', 'Image Stabilisation': True, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '440'}"
https://www.mpb.com/en-eu/product/zeiss-loxia-50mm-f-2-planar-t-sony-fe-fit,{'Year of release': '2014'}
https://www.mpb.com/en-eu/product/zeiss-distagon-t-35mm-f-2-zf-nikon-fit,{'Year of release': '2006'}
https://www.mpb.com/en-eu/product/canon-eos-1dx,"{'Built-In Bluetooth': False, 'Microphone Jack': True, 'Max FPS Max resolution': '1280×720 (HD)', 'Maximum Frames Per Second': '14', 'USB Port Type': 'Mini type B 2.0', 'Weight (Grams)': '1340', 'File Format': 'JPEG + RAW', 'Touchscreen': False, 'HDMI Port': True, 'Lens Mount': 'Canon EF', 'Minimum ISO': '50', 'Camera Type': 'Digital SLR', 'Storage Media Type': 'Compact Flash', 'LCD Resolution (Pixels)': '1040000', 'Headphone Jack': False, 'Viewfinder Type': 'Optical', 'Maximum Video Frame Rate (FPS)': '60', 'Year of release': '2012', 'Articulating LCD Screen': False, 'Shutter Rating (Life)': '400000', 'Megapixels': '18.1', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '30', 'Maximum ISO': '204800', 'Maximum Video Resolution': '1920×1080 (Full HD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': False, 'LCD Size (Inches)': '3.2', 'Built-In Flash': False, 'Sensor Format': 'Full Frame', 'Maximum Shutter Speed (1/) [Seconds]': '1/8000', 'Viewfinder Coverage (%)': '100', 'Autofocus Points': '61', 'Flash Compatibility': 'Canon TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/canon-macro-twin-lite-mt-24ex,"{'Swivel Head': False, 'Maximum Guide Number': '22', 'Flash Compatibility': 'Canon TTL', 'Weight (Grams)': '403'}"
https://www.mpb.com/en-eu/product/olympus-vf-4-electronic-viewfinder,{}
https://www.mpb.com/en-eu/product/canon-ef-s-55-250mm-f-4-5-6-is-stm,"{'Minimum Focus Distance (m)': '0.85', 'Filter Thread (mm)': '58', 'Maximum Aperture - Tele (f)': '5.6', 'Aperture Blades': '7', 'Maximum Aperture - Wide (f)': '4', 'Year of release': '2013', 'Lens Mount': 'Canon EF-S', 'Image Stabilisation': True, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '375'}"
https://www.mpb.com/en-eu/product/sony-e-pz-16-50mm-f-3-5-5-6-oss,"{'Minimum Focus Distance (m)': '0.25', 'Filter Thread (mm)': '40.5', 'Maximum Aperture - Tele (f)': '5.6', 'Aperture Blades': '7', 'Maximum Aperture - Wide (f)': '3.5', 'Year of release': '2013', 'Lens Mount': 'Sony E', 'Image Stabilisation': True, 'Minimum Aperture (F)': '22', 'Auto Focus': True, 'Weight (Grams)': '116'}"
https://www.mpb.com/en-eu/product/fujifilm-x-pro-3,"{'Built-In Bluetooth': True, 'Microphone Jack': True, 'Max FPS Max resolution': '1920×1080 (Full HD)', 'Maximum Frames Per Second': '20', 'USB Port Type': 'Type-C', 'Weight (Grams)': '497', 'File Format': 'JPEG + RAW', 'Touchscreen': True, 'HDMI Port': False, 'Lens Mount': 'Fujifilm X', 'Minimum ISO': '160', 'Camera Type': 'Mirrorless', 'Storage Media Type': 'SD / SDHC / SDXC', 'LCD Resolution (Pixels)': '1620000', 'Headphone Jack': False, 'Viewfinder Type': 'Hybrid', 'Maximum Video Frame Rate (FPS)': '120', 'Year of release': '2019', 'Articulating LCD Screen': True, 'Megapixels': '26.1', 'Integrated cleaning': True, 'Hot Shoe Connection': True, 'Built-In Microphone': True, 'Minimum Shutter Speed (x) [Seconds]': '900', 'Maximum ISO': '12800', 'Maximum Video Resolution': '3840×2160 (4K UHD)', 'Sensor Type': 'CMOS', 'Built-In Wi-Fi': True, 'LCD Size (Inches)': '3', 'Built-In Flash': False, 'Sensor Format': 'APS-C', 'Maximum Shutter Speed (1/) [Seconds]': '1/32000', 'Viewfinder Coverage (%)': '95', 'Autofocus Points': '425', 'Flash Compatibility': 'Fujifilm TTL', 'Live View': True}"
https://www.mpb.com/en-eu/product/voigtlander-nokton-35mm-f12-x-fujifilm-x-fit,{'Year of release': '2021'}
https://www.mpb.com/en-eu/product/nikon-nikkor-z-40mm-f2f2-se,"{'Weight (Grams)': '170', 'Lens Mount': 'Nikon Z', 'Minimum Aperture (F)': '16', 'Maximum Aperture - Wide (f)': '2', 'Maximum Aperture - Tele (f)': '2', 'Aperture Blades': '9', 'Filter Thread (mm)': '52', 'Minimum Focus Distance (m)': '0.29', 'Year of release': '2022'}"
https://www.mpb.com/en-eu/product/viltrox-af-85mm-f-18-nikon-z-fit,"{'Weight (Grams)': '540', 'Lens Mount': 'Nikon Z', 'Auto Focus': True, 'Minimum Aperture (F)': '16', 'Maximum Aperture - Wide (f)': '1.8', 'Maximum Aperture - Tele (f)': '1.8', 'Filter Thread (mm)': '72', 'Minimum Focus Distance (m)': '0.8', 'Aperture Blades': '9', 'Year of release': '2021'}"
https://www.mpb.com/en-eu/product/nikon-nikkor-z-28mm-f28-se,{'Year of release': '2022'}
https://www.mpb.com/en-eu/product/fujifilm-xf-56mm-f2f12-r-ii-wr,"{'Weight (Grams)': '445', 'Lens Mount': 'Fujifilm X', 'Auto Focus': True, 'Minimum Aperture (F)': '16', 'Maximum Aperture - Wide (f)': '1.2', 'Maximum Aperture - Tele (f)': '1.2', 'Filter Thread (mm)': '67', 'Minimum Focus Distance (m)': '0.5', 'Aperture Blades': '11', 'Image Stabilisation': True, 'Year of release': '2022'}"
https://www.mpb.com/en-eu/product/nikon-nikkor-z-50mm-f-1-8-s,"{'Minimum Focus Distance (m)': '0.4', 'Filter Thread (mm)': '62', 'Maximum Aperture - Tele (f)': '1.8', 'Aperture Blades': '9', 'Maximum Aperture - Wide (f)': '1.8', 'Year of release': '2019', 'Lens Mount': 'Nikon Z', 'Image Stabilisation': False, 'Minimum Aperture (F)': '16', 'Auto Focus': True, 'Weight (Grams)': '415'}"
