sku,notes
3700375,
3697842,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3697643,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3611383,
3713015,
3700512,
3697094,
3697347,
3626534,
3679260,
3675582,
3694776,
3697335,
3657777,
3697228,
3697320,"De interne lens heeft een kleine hoeveelheid schimmel, maar dit heeft geen invloed op de werking."
3694610,
3700274,
3703936,"Het autofocussysteem is defect, maar handmatige scherpstelling werkt nog steeds volledig."
3702724,
3697168,
3700383,
3702692,
3700475,
3710394,
3694835,
3698058,
3694432,
3697610,
3713529,
3711160,
3700587,
3473580,
3480671,
3697980,
3697572,
2974506,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3697732,
3697312,
3697837,
3604549,"De interne lens heeft een kleine hoeveelheid schimmel, maar dit heeft geen invloed op de werking."
3547610,
3608958,
3700205,
3709471,
3694362,
3618436,
3712574,
3699964,
3697851,
3642535,
3691708,
3691383,
3660406,
3702642,
3702641,
3702640,
3698061,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3697805,
3697535,
3661636,
3700013,
3697333,
3703465,
3700472,
3697469,
3697480,"De rubberen greep vertoont aanzienlijke slijtage, maar dit heeft geen invloed op de werking., Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3697382,
3636919,
3694369,
3697484,
3699935,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3705339,
3697383,
3697997,
3639461,
3697823,
3697516,
3685372,
3700210,
3711146,
3700444,
3697348,
3697979,
3700485,
3684797,
3679257,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3700553,
3700011,
3252982,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3435386,"Er zit een kleine hoeveelheid vocht op de interne lens, maar dit heeft geen invloed op de werking."
3698131,
3697803,"Het LCD-scherm heeft een klein aantal lichte, niet verwijderbare beschadigingen, maar dit heeft geen invloed op de werking."
3679256,
3700263,
3700689,
3700066,
3678847,
3679261,
3669743,
3697150,
3700374,
3287736,
3660404,
2162734,"Eén of meerdere van de interne ND-filterglasplaten heeft een aanzienlijke hoeveelheid stof, wat invloed heeft op het geproduceerde beeld."
3323813,
3326162,De diafragmabladen bevatten olie.
3460387,
3320933,
3412109,
